battingTeam_x,key_0,balls_x,runs_x,player_out_x,balls_y,runs_y,player_out_y,Winning Batting_Team
West Indies,493,306.4,76,3,10.2,15,0,1
South Africa,50,294.7,61,1,304.2,57,2,1
India,584,291.0,92,1,291.0,79,2,1
Sri Lanka,444,295.4,67,2,301.4,60,1,1
New Zealand,709,309.6,73,3,300.7,85,2,0
South Africa,454,291.7,81,1,295.7,84,1,0
Pakistan,509,311.1,83,2,298.7,117,2,0
West Indies,462,304.8,123,4,316.9,89,7,1
Zimbabwe,136,299.7,47,1,300.7,44,2,1
South Africa,720,294.7,70,2,291.7,57,4,1
England,660,295.7,89,1,300.8,93,3,0
New Zealand,28,291.0,136,3,329.0,131,6,1
India,155,291.0,52,3,299.7,59,3,0
Pakistan,379,301.4,81,2,300.7,53,4,1
South Africa,638,291.0,69,1,298.4,77,1,0
South Africa,26,299.2,131,0,292.7,68,2,1
England,494,302.4,73,4,301.2,55,4,1
England,362,329.4,90,2,296.4,63,3,1
West Indies,331,311.1,57,2,304.4,70,2,0
Zimbabwe,289,291.0,87,2,292.7,81,2,1
West Indies,229,304.4,48,3,300.8,59,4,0
Sri Lanka,77,310.9,53,5,305.2,80,2,0
South Africa,433,291.0,125,2,310.8,118,4,1
Netherlands,739,315.8,67,4,301.4,47,5,1
West Indies,756,294.7,48,6,297.7,61,2,0
Netherlands,751,291.0,39,8,79.6,40,1,0
Zimbabwe,665,292.7,64,4,298.2,76,1,0
Bangladesh,719,308.5,62,0,291.7,68,2,0
Sri Lanka,200,291.0,70,1,293.7,72,2,0
Afghanistan,376,296.7,84,1,304.5,83,1,1
Australia,545,312.0,76,3,311.8,92,2,0
South Africa,182,305.2,92,3,304.4,90,3,1
Australia,716,291.0,75,2,311.1,93,2,0
Netherlands,87,291.7,56,2,302.1,73,3,0
India,541,291.7,59,2,300.7,77,3,0
New Zealand,643,313.2,118,0,307.2,90,5,1
Sri Lanka,27,303.8,84,3,298.1,72,1,1
New Zealand,506,310.5,86,2,304.1,75,4,1
Afghanistan,283,300.7,93,1,300.5,59,5,1
India,467,292.7,71,1,301.9,72,4,0
Netherlands,614,307.4,52,6,303.1,70,2,0
New Zealand,514,313.8,89,1,295.7,98,1,0
Australia,511,291.0,97,3,301.1,55,6,1
India,533,314.6,80,2,298.4,101,3,0
Ireland,58,293.4,48,5,299.7,75,0,0
Australia,697,299.7,74,3,296.4,62,4,1
West Indies,144,305.4,58,2,291.0,52,3,1
Sri Lanka,175,291.0,65,3,300.7,58,3,1
Afghanistan,496,313.5,76,2,296.7,62,3,1
West Indies,54,296.7,73,1,291.0,75,2,0
Australia,432,313.1,114,3,300.4,91,3,1
Pakistan,268,294.7,92,1,308.8,66,2,1
Netherlands,183,300.1,67,3,294.7,70,2,0
West Indies,682,299.7,48,3,291.0,27,4,1
South Africa,703,305.1,70,2,302.7,63,2,1
West Indies,37,318.8,73,3,310.6,78,3,0
Pakistan,63,313.9,46,6,296.7,61,4,0
Australia,411,304.4,77,3,86.1,49,1,1
Sri Lanka,111,296.1,67,2,291.0,77,1,0
New Zealand,473,295.4,75,1,301.4,54,4,1
Pakistan,357,302.2,67,2,298.5,32,5,1
Afghanistan,319,298.4,45,4,306.4,85,3,0
Pakistan,11,300.4,73,3,294.7,83,1,0
South Africa,382,299.7,79,1,294.7,81,2,0
Sri Lanka,505,293.4,65,4,296.7,97,1,0
Pakistan,172,296.5,47,6,302.1,53,3,0
India,117,291.0,70,2,297.4,100,0,0
England,138,311.1,88,1,291.7,64,3,1
Bangladesh,374,293.7,56,3,299.4,77,1,0
Afghanistan,170,300.1,75,2,291.7,62,2,1
South Africa,156,304.1,97,2,322.6,97,3,1
Ireland,415,291.0,87,2,12.3,16,1,1
India,428,313.2,80,0,301.9,65,3,1
West Indies,159,298.7,81,2,299.7,87,1,0
Sri Lanka,700,298.1,79,2,295.7,95,2,0
India,492,298.5,73,2,306.5,87,2,0
Australia,516,305.6,112,1,306.9,96,2,1
South Africa,137,295.7,75,3,292.7,62,5,1
South Africa,450,299.1,72,2,295.7,90,2,0
England,487,291.0,64,3,297.7,61,3,1
Ireland,528,291.0,63,2,306.4,66,2,0
India,598,297.1,83,4,296.7,79,1,1
England,460,291.0,62,3,295.7,57,2,1
Bangladesh,361,291.0,97,3,314.0,61,3,1
New Zealand,656,300.7,94,2,291.7,66,4,1
Sri Lanka,620,299.2,84,1,294.7,57,3,1
Sri Lanka,592,291.0,87,4,295.7,77,2,1
Bangladesh,301,296.7,73,4,294.7,113,2,0
Bangladesh,181,294.7,67,3,318.6,76,4,0
Pakistan,596,320.6,79,3,295.7,78,3,1
West Indies,698,291.0,44,4,297.4,65,2,0
Pakistan,508,295.4,77,2,298.4,89,2,0
Bangladesh,482,299.7,60,2,292.7,57,2,1
England,657,319.5,106,3,299.4,78,5,1
West Indies,80,302.8,59,4,296.1,128,1,0
England,458,295.4,85,2,293.7,94,1,0
Sri Lanka,408,296.4,86,2,72.2,29,1,1
England,29,311.6,89,0,300.7,91,3,0
Australia,726,291.0,86,2,324.7,80,4,1
England,513,298.4,77,3,301.4,100,0,0
India,10,301.1,76,3,304.4,76,0,1
Sri Lanka,252,295.7,62,0,297.2,58,3,1
