battingTeam_x,key_0,balls_x,runs_x,player_out_x,balls_y,runs_y,player_out_y,Winning Batting_Team
England,529,1133.1,113,6,36.6,14,1,1
South Africa,507,1096.7,159,5,1138.8,164,6,0
South Africa,632,316.8,108,6,320.8,87,7,1
Bangladesh,286,1217.7,185,4,897.9,194,4,0
South Africa,2,1116.5,122,8,1098.9,124,4,0
South Africa,728,321.2,126,5,291.0,107,6,1
West Indies,121,1114.8,129,6,1121.5,127,6,1
Australia,55,1124.8,137,5,1119.7,145,3,0
Zimbabwe,192,1152.7,86,8,484.1,94,0,0
New Zealand,690,1159.1,226,6,1151.0,245,5,0
Pakistan,393,1119.2,183,5,821.0,101,10,1
South Africa,602,1118.4,213,4,1090.3,141,10,1
Pakistan,635,1105.1,145,4,1098.7,127,4,1
Sri Lanka,79,1128.1,123,6,1066.0,139,2,0
Sri Lanka,435,1095.1,139,8,940.4,144,2,0
New Zealand,499,1138.8,166,6,1100.4,168,5,0
South Africa,9,1173.5,165,3,1157.3,178,5,0
New Zealand,85,1138.2,114,7,402.8,96,3,1
South Africa,414,1085.7,132,3,629.4,143,1,0
Bangladesh,373,1085.0,124,7,1092.7,119,8,1
Bangladesh,163,1149.5,126,6,839.7,137,1,0
South Africa,280,1109.8,159,4,1160.4,176,4,0
Netherlands,250,1165.2,148,4,1123.6,127,9,1
Australia,158,1118.5,179,5,1111.1,183,4,0
India,270,1132.9,118,7,1113.4,114,7,1
Pakistan,42,1114.9,136,6,1146.6,131,6,1
Australia,411,1042.2,118,8,86.1,49,1,1
Pakistan,272,1103.4,121,6,1043.6,131,3,0
South Africa,82,1119.1,147,4,1148.3,142,9,1
Sri Lanka,13,1141.6,128,8,1098.7,138,5,0
Zimbabwe,590,1133.5,157,5,1112.1,159,7,0
Afghanistan,699,1034.3,160,7,971.2,144,9,1
India,558,1165.5,176,2,1110.1,115,8,1
South Africa,616,1117.4,186,5,1132.5,178,8,1
Afghanistan,437,1157.6,141,6,1096.3,148,5,0
Pakistan,11,1113.1,149,6,1088.7,151,6,0
Bangladesh,418,1147.3,140,9,1091.7,141,6,0
Ireland,528,1097.7,122,6,1054.9,126,5,0
Australia,409,1086.5,204,5,1164.0,137,8,1
Sri Lanka,573,989.6,82,10,561.8,84,1,0
Pakistan,297,1159.7,185,4,1131.6,175,7,1
Australia,586,1140.8,176,7,1143.9,183,4,0
West Indies,658,1195.6,164,3,1163.5,179,3,0
Sri Lanka,436,1128.1,119,4,1108.8,134,7,0
West Indies,605,1170.6,155,7,1141.8,110,6,1
Bangladesh,442,1113.5,169,4,1057.7,178,2,0
Pakistan,75,1107.4,166,5,1007.8,120,10,1
South Africa,575,1154.8,161,4,1140.3,142,8,1
West Indies,329,1147.5,236,4,1145.8,239,3,0
Netherlands,729,1128.8,133,5,1120.1,134,4,0
Bangladesh,33,1121.8,152,8,1093.7,156,5,0
England,371,1134.6,153,4,1079.6,137,10,1
New Zealand,666,1112.9,185,7,1090.4,172,9,1
New Zealand,649,1131.8,199,3,1087.7,183,9,1
West Indies,543,1101.1,124,6,1044.5,101,10,1
England,233,1119.8,183,4,112.4,60,2,1
Afghanistan,319,1092.4,98,9,848.7,114,4,0
West Indies,311,1141.5,152,6,941.6,82,10,1
Zimbabwe,559,1099.7,145,5,1074.4,157,4,0
India,273,1097.4,140,5,1119.2,137,5,1
South Africa,341,1085.0,175,6,1138.4,180,5,0
